index,Name,Aces,Double Faults,Service Points Won,Break Points Converted,Sets Won,Tiebreaks Won,Wins,Match Duration,Year
4534,Kenneth Carlsen,9.4,2,47.8,2.8,1.4,0,0.6,95.6,1997
4535,Kenneth Carlsen,8.6,1.8,40.6,2.4,1.2,0,0.6,104.4,1997
4536,Jan Kroslak,7.6,5.8,52,3.4,1.8,0,0.8,112.4,1997
4537,Michael Stich,8,3.8,48.2,1.8,1.2,0.2,0.6,68.6,1997
4538,Renzo Furlan,5.6,1.2,45.2,2.6,1.6,0.4,0.8,110.4,1997
4539,Jordi Burillo,9.4,4,48.8,0.8,0.4,0.2,0,77.4,1997
4540,Bernardo Mota,2.4,1.2,33.4,3.2,1,0,0.4,80.6,1997
4541,Gilbert Schaller,1.2,2,35.8,2.6,1.2,0.2,0.6,96.6,1997
4542,Alex Radulescu,16.2,4.2,54.2,1.6,1,0.2,0.4,89.4,1997
4543,Mikael Tillstrom,5,2.8,56.8,2.6,1.6,0.4,0.8,77.4,1997
4544,Lionel Roux,3.8,3,42.6,2.8,1,0,0.4,95.6,1997
4545,Jean-Philippe Fleurian,1.2,1.8,44,1.8,0.6,0,0.2,91.6,1997
4546,Alex Radulescu,13,3.8,48.8,2.2,1.4,0,0.6,79.8,1997
4547,Gilbert Schaller,0.2,1.8,33.8,4.6,1.6,0.2,0.8,90.4,1997
4548,Felix Mantilla,3.6,2.8,42.2,3.2,1.2,0,0.4,85,1997
4549,Alberto Berasategui,4.4,2.8,48.8,2.8,1.2,0.2,0.6,103.4,1997
4550,Alex Corretja,2.4,2.6,34.2,3.4,1.2,0,0.6,99.2,1997
